Freq.	V(n001)-V(n002)	I(D1)
1.00000000000000e+01	(-5.92726430852379e+01dB,-6.77455912897563e-05°)	(-8.00949629205538e+01dB,7.44726880006216e-07°)
1.00230523807790e+01	(-5.92726430852377e+01dB,-6.79017610064059e-05°)	(-8.00949629205516e+01dB,7.46443652767525e-07°)
1.00461579027839e+01	(-5.92726430852378e+01dB,-6.80582907314342e-05°)	(-8.00949629205516e+01dB,7.48164383099656e-07°)
1.00693166885180e+01	(-5.92726430852380e+01dB,-6.82151812947455e-05°)	(-8.00949629205538e+01dB,7.49889080123026e-07°)
1.00925288607668e+01	(-5.92726430852379e+01dB,-6.83724335281565e-05°)	(-8.00949629205538e+01dB,7.51617752985253e-07°)
1.01157945425990e+01	(-5.92726430852378e+01dB,-6.85300482654039e-05°)	(-8.00949629205516e+01dB,7.53350410848103e-07°)
1.01391138573668e+01	(-5.92726430852378e+01dB,-6.86880263421449e-05°)	(-8.00949629205516e+01dB,7.55087062902820e-07°)
1.01624869287070e+01	(-5.92726430852379e+01dB,-6.88463685959641e-05°)	(-8.00949629205516e+01dB,7.56827718352339e-07°)
1.01859138805412e+01	(-5.92726430852379e+01dB,-6.90050758663773e-05°)	(-8.00949629205516e+01dB,7.58572386425819e-07°)
1.02093948370768e+01	(-5.92726430852380e+01dB,-6.91641489948326e-05°)	(-8.00949629205516e+01dB,7.60321076376922e-07°)
1.02329299228075e+01	(-5.92726430852382e+01dB,-6.93235888247211e-05°)	(-8.00949629205538e+01dB,7.62073797473285e-07°)
1.02565192625141e+01	(-5.92726430852382e+01dB,-6.94833962013783e-05°)	(-8.00949629205538e+01dB,7.63830559008015e-07°)
1.02801629812647e+01	(-5.92726430852380e+01dB,-6.96435719720801e-05°)	(-8.00949629205516e+01dB,7.65591370300631e-07°)
1.03038612044162e+01	(-5.92726430852380e+01dB,-6.98041169860700e-05°)	(-8.00949629205516e+01dB,7.67356240678689e-07°)
1.03276140576140e+01	(-5.92726430852380e+01dB,-6.99650320945401e-05°)	(-8.00949629205516e+01dB,7.69125179504404e-07°)
1.03514216667934e+01	(-5.92726430852382e+01dB,-7.01263181506467e-05°)	(-8.00949629205516e+01dB,7.70898196153963e-07°)
1.03752841581801e+01	(-5.92726430852383e+01dB,-7.02879760095112e-05°)	(-8.00949629205516e+01dB,7.72675300031123e-07°)
1.03992016582906e+01	(-5.92726430852384e+01dB,-7.04500065282281e-05°)	(-8.00949629205538e+01dB,7.74456500553616e-07°)
1.04231742939330e+01	(-5.92726430852383e+01dB,-7.06124105658620e-05°)	(-8.00949629205516e+01dB,7.76241807169036e-07°)
1.04472021922080e+01	(-5.92726430852383e+01dB,-7.07751889834715e-05°)	(-8.00949629205516e+01dB,7.78031229339914e-07°)
1.04712854805090e+01	(-5.92726430852382e+01dB,-7.09383426440864e-05°)	(-8.00949629205516e+01dB,7.79824776555582e-07°)
1.04954242865232e+01	(-5.92726430852382e+01dB,-7.11018724127316e-05°)	(-8.00949629205516e+01dB,7.81622458325472e-07°)
1.05196187382322e+01	(-5.92726430852384e+01dB,-7.12657791564277e-05°)	(-8.00949629205516e+01dB,7.83424284178928e-07°)
1.05438689639126e+01	(-5.92726430852384e+01dB,-7.14300637441904e-05°)	(-8.00949629205516e+01dB,7.85230263669798e-07°)
1.05681750921366e+01	(-5.92726430852386e+01dB,-7.15947270470402e-05°)	(-8.00949629205516e+01dB,7.87040406373373e-07°)
1.05925372517729e+01	(-5.92726430852385e+01dB,-7.17597699380053e-05°)	(-8.00949629205516e+01dB,7.88854721886384e-07°)
1.06169555719872e+01	(-5.92726430852385e+01dB,-7.19251932921290e-05°)	(-8.00949629205516e+01dB,7.90673219828537e-07°)
1.06414301822431e+01	(-5.92726430852388e+01dB,-7.20909979864672e-05°)	(-8.00949629205538e+01dB,7.92495909842706e-07°)
1.06659612123026e+01	(-5.92726430852385e+01dB,-7.22571849000977e-05°)	(-8.00949629205516e+01dB,7.94322801590892e-07°)
1.06905487922266e+01	(-5.92726430852386e+01dB,-7.24237549141316e-05°)	(-8.00949629205516e+01dB,7.96153904757713e-07°)
1.07151930523760e+01	(-5.92726430852388e+01dB,-7.25907089117033e-05°)	(-8.00949629205516e+01dB,7.97989229056105e-07°)
1.07398941234124e+01	(-5.92726430852388e+01dB,-7.27580477779889e-05°)	(-8.00949629205516e+01dB,7.99828784211449e-07°)
1.07646521362983e+01	(-5.92726430852387e+01dB,-7.29257724001979e-05°)	(-8.00949629205516e+01dB,8.01672579982822e-07°)
1.07894672222983e+01	(-5.92726430852387e+01dB,-7.30938836675939e-05°)	(-8.00949629205516e+01dB,8.03520626141554e-07°)
1.08143395129794e+01	(-5.92726430852391e+01dB,-7.32623824714907e-05°)	(-8.00949629205538e+01dB,8.05372932480615e-07°)
1.08392691402120e+01	(-5.92726430852389e+01dB,-7.34312697052386e-05°)	(-8.00949629205516e+01dB,8.07229508833531e-07°)
1.08642562361706e+01	(-5.92726430852389e+01dB,-7.36005462642725e-05°)	(-8.00949629205516e+01dB,8.09090365033491e-07°)
1.08893009333343e+01	(-5.92726430852389e+01dB,-7.37702130460738e-05°)	(-8.00949629205516e+01dB,8.10955510954238e-07°)
1.09144033644875e+01	(-5.92726430852390e+01dB,-7.39402709502023e-05°)	(-8.00949629205516e+01dB,8.12824956475844e-07°)
1.09395636627209e+01	(-5.92726430852390e+01dB,-7.41107208782863e-05°)	(-8.00949629205516e+01dB,8.14698711516667e-07°)
1.09647819614318e+01	(-5.92726430852390e+01dB,-7.42815637340350e-05°)	(-8.00949629205516e+01dB,8.16576786008849e-07°)
1.09900583943252e+01	(-5.92726430852391e+01dB,-7.44528004232409e-05°)	(-8.00949629205516e+01dB,8.18459189909038e-07°)
1.10153930954141e+01	(-5.92726430852392e+01dB,-7.46244318537829e-05°)	(-8.00949629205516e+01dB,8.20345933198387e-07°)
1.10407861990207e+01	(-5.92726430852392e+01dB,-7.47964589356344e-05°)	(-8.00949629205516e+01dB,8.22237025879491e-07°)
1.10662378397766e+01	(-5.92726430852393e+01dB,-7.49688825808643e-05°)	(-8.00949629205538e+01dB,8.24132477982714e-07°)
1.10917481526240e+01	(-5.92726430852392e+01dB,-7.51417037036453e-05°)	(-8.00949629205516e+01dB,8.26032299552924e-07°)
1.11173172728159e+01	(-5.92726430852392e+01dB,-7.53149232202607e-05°)	(-8.00949629205516e+01dB,8.27936500663778e-07°)
1.11429453359173e+01	(-5.92726430852392e+01dB,-7.54885420491032e-05°)	(-8.00949629205516e+01dB,8.29845091409561e-07°)
1.11686324778056e+01	(-5.92726430852393e+01dB,-7.56625611106785e-05°)	(-8.00949629205516e+01dB,8.31758081915390e-07°)
1.11943788346715e+01	(-5.92726430852394e+01dB,-7.58369813276237e-05°)	(-8.00949629205516e+01dB,8.33675482315574e-07°)
1.12201845430196e+01	(-5.92726430852395e+01dB,-7.60118036246922e-05°)	(-8.00949629205516e+01dB,8.35597302782711e-07°)
1.12460497396692e+01	(-5.92726430852394e+01dB,-7.61870289287765e-05°)	(-8.00949629205516e+01dB,8.37523553501649e-07°)
1.12719745617551e+01	(-5.92726430852395e+01dB,-7.63626581689063e-05°)	(-8.00949629205516e+01dB,8.39454244687870e-07°)
1.12979591467279e+01	(-5.92726430852395e+01dB,-7.65386922762463e-05°)	(-8.00949629205516e+01dB,8.41389386578295e-07°)
1.13240036323555e+01	(-5.92726430852396e+01dB,-7.67151321841130e-05°)	(-8.00949629205516e+01dB,8.43328989431289e-07°)
1.13501081567231e+01	(-5.92726430852396e+01dB,-7.68919788279754e-05°)	(-8.00949629205516e+01dB,8.45273063529722e-07°)
1.13762728582343e+01	(-5.92726430852397e+01dB,-7.70692331454548e-05°)	(-8.00949629205516e+01dB,8.47221619180967e-07°)
1.14024978756117e+01	(-5.92726430852397e+01dB,-7.72468960763347e-05°)	(-8.00949629205516e+01dB,8.49174666718435e-07°)
1.14287833478977e+01	(-5.92726430852397e+01dB,-7.74249685625705e-05°)	(-8.00949629205516e+01dB,8.51132216493914e-07°)
