time,original,quantized,error
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000208333,0.2610523844,0.2500000000,0.0110523844
0.0000416667,0.5176380902,0.5000000000,0.0176380902
0.0000625000,0.7653668647,0.7500000000,0.0153668647
0.0000833333,1.0000000000,1.0000000000,-0.0000000000
0.0001041667,1.2175228580,1.1875000000,0.0300228580
0.0001250000,1.4142135624,1.4375000000,-0.0232864376
0.0001458333,1.5867066806,1.5625000000,0.0242066806
0.0001666667,1.7320508076,1.7500000000,-0.0179491924
0.0001875000,1.8477590650,1.8750000000,-0.0272409350
0.0002083333,1.9318516526,1.9375000000,-0.0056483474
0.0002291667,1.9828897227,2.0000000000,-0.0171102773
0.0002500000,2.0000000000,2.0000000000,0.0000000000
0.0002708333,1.9828897227,2.0000000000,-0.0171102773
0.0002916667,1.9318516526,1.9375000000,-0.0056483474
0.0003125000,1.8477590650,1.8750000000,-0.0272409350
0.0003333333,1.7320508076,1.7500000000,-0.0179491924
0.0003541667,1.5867066806,1.5625000000,0.0242066806
0.0003750000,1.4142135624,1.4375000000,-0.0232864376
0.0003958333,1.2175228580,1.1875000000,0.0300228580
0.0004166667,1.0000000000,1.0000000000,0.0000000000
0.0004375000,0.7653668647,0.7500000000,0.0153668647
0.0004583333,0.5176380902,0.5000000000,0.0176380902
0.0004791667,0.2610523844,0.2500000000,0.0110523844
0.0005000000,0.0000000000,0.0000000000,0.0000000000
0.0005208333,-0.2610523844,-0.2500000000,-0.0110523844
0.0005416667,-0.5176380902,-0.5000000000,-0.0176380902
0.0005625000,-0.7653668647,-0.7500000000,-0.0153668647
0.0005833333,-1.0000000000,-1.0000000000,0.0000000000
0.0006041667,-1.2175228580,-1.1875000000,-0.0300228580
0.0006250000,-1.4142135624,-1.4375000000,0.0232864376
0.0006458333,-1.5867066806,-1.5625000000,-0.0242066806
0.0006666667,-1.7320508076,-1.7500000000,0.0179491924
0.0006875000,-1.8477590650,-1.8750000000,0.0272409350
0.0007083333,-1.9318516526,-1.9375000000,0.0056483474
0.0007291667,-1.9828897227,-2.0000000000,0.0171102773
0.0007500000,-2.0000000000,-2.0000000000,0.0000000000
0.0007708333,-1.9828897227,-2.0000000000,0.0171102773
0.0007916667,-1.9318516526,-1.9375000000,0.0056483474
0.0008125000,-1.8477590650,-1.8750000000,0.0272409350
0.0008333333,-1.7320508076,-1.7500000000,0.0179491924
0.0008541667,-1.5867066806,-1.5625000000,-0.0242066806
0.0008750000,-1.4142135624,-1.4375000000,0.0232864376
0.0008958333,-1.2175228580,-1.1875000000,-0.0300228580
0.0009166667,-1.0000000000,-1.0000000000,-0.0000000000
0.0009375000,-0.7653668647,-0.7500000000,-0.0153668647
0.0009583333,-0.5176380902,-0.5000000000,-0.0176380902
0.0009791667,-0.2610523844,-0.2500000000,-0.0110523844
0.0010000000,-0.0000000000,0.0000000000,-0.0000000000
0.0010208333,0.2610523844,0.2500000000,0.0110523844
0.0010416667,0.5176380902,0.5000000000,0.0176380902
0.0010625000,0.7653668647,0.7500000000,0.0153668647
0.0010833333,1.0000000000,1.0000000000,-0.0000000000
0.0011041667,1.2175228580,1.1875000000,0.0300228580
0.0011250000,1.4142135624,1.4375000000,-0.0232864376
0.0011458333,1.5867066806,1.5625000000,0.0242066806
0.0011666667,1.7320508076,1.7500000000,-0.0179491924
0.0011875000,1.8477590650,1.8750000000,-0.0272409350
0.0012083333,1.9318516526,1.9375000000,-0.0056483474
0.0012291667,1.9828897227,2.0000000000,-0.0171102773
0.0012500000,2.0000000000,2.0000000000,0.0000000000
0.0012708333,1.9828897227,2.0000000000,-0.0171102773
0.0012916667,1.9318516526,1.9375000000,-0.0056483474
0.0013125000,1.8477590650,1.8750000000,-0.0272409350
0.0013333333,1.7320508076,1.7500000000,-0.0179491924
0.0013541667,1.5867066806,1.5625000000,0.0242066806
0.0013750000,1.4142135624,1.4375000000,-0.0232864376
0.0013958333,1.2175228580,1.1875000000,0.0300228580
0.0014166667,1.0000000000,1.0000000000,0.0000000000
0.0014375000,0.7653668647,0.7500000000,0.0153668647
0.0014583333,0.5176380902,0.5000000000,0.0176380902
0.0014791667,0.2610523844,0.2500000000,0.0110523844
0.0015000000,0.0000000000,0.0000000000,0.0000000000
0.0015208333,-0.2610523844,-0.2500000000,-0.0110523844
0.0015416667,-0.5176380902,-0.5000000000,-0.0176380902
0.0015625000,-0.7653668647,-0.7500000000,-0.0153668647
0.0015833333,-1.0000000000,-1.0000000000,0.0000000000
0.0016041667,-1.2175228580,-1.1875000000,-0.0300228580
0.0016250000,-1.4142135624,-1.4375000000,0.0232864376
0.0016458333,-1.5867066806,-1.5625000000,-0.0242066806
0.0016666667,-1.7320508076,-1.7500000000,0.0179491924
0.0016875000,-1.8477590650,-1.8750000000,0.0272409350
0.0017083333,-1.9318516526,-1.9375000000,0.0056483474
0.0017291667,-1.9828897227,-2.0000000000,0.0171102773
0.0017500000,-2.0000000000,-2.0000000000,0.0000000000
0.0017708333,-1.9828897227,-2.0000000000,0.0171102773
0.0017916667,-1.9318516526,-1.9375000000,0.0056483474
0.0018125000,-1.8477590650,-1.8750000000,0.0272409350
0.0018333333,-1.7320508076,-1.7500000000,0.0179491924
0.0018541667,-1.5867066806,-1.5625000000,-0.0242066806
0.0018750000,-1.4142135624,-1.4375000000,0.0232864376
0.0018958333,-1.2175228580,-1.1875000000,-0.0300228580
0.0019166667,-1.0000000000,-1.0000000000,-0.0000000000
0.0019375000,-0.7653668647,-0.7500000000,-0.0153668647
0.0019583333,-0.5176380902,-0.5000000000,-0.0176380902
0.0019791667,-0.2610523844,-0.2500000000,-0.0110523844
0.0020000000,-0.0000000000,0.0000000000,-0.0000000000
0.0020208333,0.2610523844,0.2500000000,0.0110523844
0.0020416667,0.5176380902,0.5000000000,0.0176380902
0.0020625000,0.7653668647,0.7500000000,0.0153668647
0.0020833333,1.0000000000,1.0000000000,-0.0000000000
0.0021041667,1.2175228580,1.1875000000,0.0300228580
0.0021250000,1.4142135624,1.4375000000,-0.0232864376
0.0021458333,1.5867066806,1.5625000000,0.0242066806
0.0021666667,1.7320508076,1.7500000000,-0.0179491924
0.0021875000,1.8477590650,1.8750000000,-0.0272409350
0.0022083333,1.9318516526,1.9375000000,-0.0056483474
0.0022291667,1.9828897227,2.0000000000,-0.0171102773
0.0022500000,2.0000000000,2.0000000000,0.0000000000
