time,original,q2_14,q4_12,add,sub,mul
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000021,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.000042,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.000063,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.000083,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.000104,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.000125,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.000146,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.000167,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.000188,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.000208,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.000229,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.000250,2.000000,1.999939,2.000000,3.999939,-0.000061,3.999878
0.000271,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.000292,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.000313,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.000333,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.000354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.000375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.000396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.000417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.000438,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.000458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.000479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.000542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.000562,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.000583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.000604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.000625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.000646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.000667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.000687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.000708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.000729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.000750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.000771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.000792,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.000812,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.000833,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.000854,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.000875,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.000896,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.000917,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.000937,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.000958,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.000979,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.001000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001021,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.001042,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.001063,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.001083,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.001104,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.001125,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.001146,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.001167,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.001187,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.001208,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.001229,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.001250,2.000000,1.999939,2.000000,3.999939,-0.000061,3.999878
0.001271,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.001292,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.001313,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.001333,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.001354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.001375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.001396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.001417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.001437,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.001458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.001479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.001542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.001563,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.001583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.001604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.001625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.001646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.001667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.001687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.001708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.001729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.001750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.001771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.001792,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.001813,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.001833,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.001854,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.001875,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.001896,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.001917,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.001937,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
